Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
1;08:58:22.073559;20.02.2023;49.21108777955444;18.761688511502744;361.0;1.2422932670427986;-0.6210634302059191;-9.81;0.0;0.0;-10.882094616387427;-1.4524218417548638;17.55615612041397;38.05643952585411
2;08:58:22.173559;20.02.2023;49.21108835910886;18.761686823005448;361.0;0.0;0.0;-9.81;0.0;0.0;0.0;-1.4524217357321882;17.5561558971667;38.05643968309979
3;08:58:22.273559;20.02.2023;49.21108893866324;18.761685134508113;361.0;0.0;0.0;-9.81;0.0;0.0;0.0;-1.4524216297095036;17.556155673919516;38.05643984034543
4;08:58:22.373559;20.02.2023;49.21108953783691;18.761683388851022;361.0;0.04205463137056296;-0.02102449905183885;-9.81;0.0;0.0;0.0;-1.4524215200976844;17.556155443114857;38.05644000291431
5;08:58:22.473559;20.02.2023;49.21109018790751;18.76168149490861;361.0;0.1090992422917857;-0.05454231416056526;-9.81;0.0;0.0;0.0;-1.4524214011748477;17.55615519270446;38.056440179292544
6;08:58:22.573559;20.02.2023;49.211090911668535;18.7616793862733;361.0;0.15795787839126357;-0.07896835987467994;-9.81;0.0;0.0;-2.220446049250313e-15;-1.4524212687711915;17.556154913908127;38.05644037566457
7;08:58:22.673559;20.02.2023;49.2110916921546;18.761677112372737;361.0;0.12159203250386184;-0.06078787255469881;-9.81;0.0;0.0;2.220446049250313e-15;-1.4524211259903232;17.556154613261064;38.05644058742728
8;08:58:22.773559;20.02.2023;49.211092541777155;18.761674637046834;361.0;0.14819638313593372;-0.07408826602884808;-9.81;0.0;0.0;0.0;-1.452420970561711;17.5561542859823;38.056440817948264
9;08:58:22.873559;20.02.2023;49.21109339262507;18.761672158150667;361.0;0.0026267285426607037;-0.0013131883446556017;-9.81;0.0;0.0;0.0;-1.4524208149089026;17.556153958231498;38.0564410488017
10;08:58:22.973559;20.02.2023;49.21109422718002;18.761669726722886;361.0;-0.034924398103465745;0.017459859969818452;-9.81;0.0;0.0;4.440892098500626e-15;-1.4524206622366755;17.556153636756882;38.05644127523445
11;08:58:23.073559;20.02.2023;49.21109509727159;18.76166719176096;361.0;0.07617402173931878;-0.03808190907016456;-9.81;0.0;0.0;0.0;-1.4524205030634054;17.55615330159335;38.05644151130905
12;08:58:23.173559;20.02.2023;49.21109604681363;18.761664425324334;361.0;0.17030484138256555;-0.08514101442528964;-9.81;0.0;0.0;-4.440892098500626e-15;-1.452420329355545;17.556152935825153;38.056441768940275
13;08:58:23.273559;20.02.2023;49.21109699635132;18.761661658900074;361.0;-9.175012071549196e-06;4.586891533990965e-06;-9.81;0.0;0.0;0.0;-1.4524201556484415;17.556152570058615;38.056442026570274
